symbol,type,entry_price,entry_time,target_price,target_exit_time,status,exit_price,variation,result,quality_score,signal_class,trend_score,alignment_score,market_score,strategy_info,trend_timeframe,entry_timeframe,trend_strength,confluence_count,leverage,max_exit_time,expected_duration
1000000MOGUSDT,LONG,1.0488,2025-07-03 13:58:32,1.11405174,2025-07-10 13:58:32,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
HUSDT,LONG,0.07451,2025-07-03 18:09:47,0.08352658,2025-07-10 18:09:47,OPEN,,,,90.0,Sinais Premium,20.0,30.0,40.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
RONINUSDT,LONG,0.515,2025-07-03 18:10:50,0.54700377,2025-07-10 18:10:50,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
HUSDT,LONG,0.09788,2025-07-04 09:11:34,0.109901,2025-07-11 09:11:34,OPEN,,,,90.0,Sinais Premium,20.0,30.0,40.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
MYXUSDT,SHORT,0.05697,2025-07-04 09:11:35,0.05033032,2025-07-11 09:11:35,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Baixa,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
FUNUSDT,LONG,0.013708,2025-07-04 09:11:36,0.01496713,2025-07-11 09:11:36,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
DMCUSDT,LONG,0.008227,2025-07-04 09:11:42,0.00895754,2025-07-11 09:11:42,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
SKYAIUSDT,LONG,0.05147,2025-07-04 09:12:02,0.05627612,2025-07-11 09:12:02,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
GUNUSDT,LONG,0.03088,2025-07-04 09:12:11,0.03339133,2025-07-11 09:12:11,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
LOKAUSDT,LONG,0.05631,2025-07-04 09:12:34,0.05981384,2025-07-11 09:12:34,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
SWARMSUSDT,LONG,0.02688,2025-07-04 10:19:56,0.02868375,2025-07-11 10:19:56,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
BRUSDT,LONG,0.12759,2025-07-04 10:26:30,0.13557598,2025-07-11 10:26:30,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
MOODENGUSDT,LONG,0.17866,2025-07-04 10:51:18,0.18999233,2025-07-11 10:51:18,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
BIDUSDT,SHORT,0.14018,2025-07-04 11:17:42,0.13140868,2025-07-11 11:17:42,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Baixa,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
HOOKUSDT,SHORT,0.0987,2025-07-04 12:20:52,0.09232314,2025-07-11 12:20:52,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Baixa,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
HFTUSDT,SHORT,0.1158,2025-07-04 15:39:29,0.10822268,2025-07-11 15:39:29,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Baixa,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
